127.0.0.1, 2012-07-10 15:51:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000549
127.0.0.1, 2012-07-10 15:51:48, GET, /admin/default/peek/testGeogebraApp/controllers/default.py, HTTP/1.1, 200, 0.046151
127.0.0.1, 2012-07-10 15:51:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000578
127.0.0.1, 2012-07-10 15:51:50, GET, /admin/default/edit/testGeogebraApp/controllers/default.py, HTTP/1.1, 200, 0.055796
127.0.0.1, 2012-07-10 15:51:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000558
127.0.0.1, 2012-07-10 15:51:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000633
127.0.0.1, 2012-07-10 15:51:55, GET, /admin/default/peek/testGeogebraApp/controllers/default.py, HTTP/1.1, 200, 0.047478
127.0.0.1, 2012-07-10 15:51:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000620
127.0.0.1, 2012-07-10 15:51:57, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.158107
127.0.0.1, 2012-07-10 15:51:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000536
127.0.0.1, 2012-07-10 15:52:01, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.044620
127.0.0.1, 2012-07-10 15:52:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000574
127.0.0.1, 2012-07-10 15:52:03, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.060474
127.0.0.1, 2012-07-10 15:52:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000532
127.0.0.1, 2012-07-10 15:52:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000444
127.0.0.1, 2012-07-10 15:52:05, GET, /testGeogebraApp/default/applet, HTTP/1.1, 200, 0.033137
127.0.0.1, 2012-07-10 15:52:41, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.055759
127.0.0.1, 2012-07-10 15:52:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000570
127.0.0.1, 2012-07-10 15:52:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000615
127.0.0.1, 2012-07-10 15:52:50, GET, /testGeogebraApp/default/applet, HTTP/1.1, 200, 0.030616
127.0.0.1, 2012-07-10 15:53:23, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.049559
127.0.0.1, 2012-07-10 15:53:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000542
127.0.0.1, 2012-07-10 15:53:25, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.161370
127.0.0.1, 2012-07-10 15:53:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000546
127.0.0.1, 2012-07-10 15:53:29, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.046305
127.0.0.1, 2012-07-10 15:53:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000534
127.0.0.1, 2012-07-10 15:53:31, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.156493
127.0.0.1, 2012-07-10 15:53:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000671
127.0.0.1, 2012-07-10 15:53:35, GET, /admin/default/peek/testGeogebraApp/controllers/default.py, HTTP/1.1, 200, 0.045414
127.0.0.1, 2012-07-10 15:53:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000549
127.0.0.1, 2012-07-10 15:55:07, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.155284
127.0.0.1, 2012-07-10 15:55:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000540
127.0.0.1, 2012-07-10 15:55:12, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.045102
127.0.0.1, 2012-07-10 15:55:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000531
127.0.0.1, 2012-07-10 15:55:18, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.156219
127.0.0.1, 2012-07-10 15:55:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000605
127.0.0.1, 2012-07-10 15:55:28, GET, /admin/default/peek/testGeogebraApp/controllers/default.py, HTTP/1.1, 200, 0.047157
127.0.0.1, 2012-07-10 15:55:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000534
